id,nom,type,responsable,budget,statut,nb_reunions,mois_depuis_activite,risque
1,Partenaire_1,Association,Responsable_40,927327,En attente,15,8,0
2,Partenaire_2,Association,Responsable_36,4218320,Suspendue,9,2,20
3,Partenaire_3,Institution,Responsable_18,1261781,Active,5,19,40
4,Partenaire_4,Institution,Responsable_25,3427348,Active,7,9,20
5,Partenaire_5,Université,Responsable_9,387554,Terminée,11,10,0
6,Partenaire_6,Association,Responsable_11,4709704,En attente,4,16,60
7,Partenaire_7,Université,Responsable_2,1169489,Active,18,11,0
8,Partenaire_8,Université,Responsable_34,1089175,Suspendue,16,8,0
9,Partenaire_9,Entreprise,Responsable_34,1634118,Suspendue,20,9,0
10,Partenaire_10,Institution,Responsable_1,255918,En attente,20,9,0
11,Partenaire_11,Université,Responsable_9,1149029,Suspendue,20,22,40
12,Partenaire_12,Entreprise,Responsable_25,4084243,En attente,20,0,20
13,Partenaire_13,Entreprise,Responsable_29,4780908,Active,13,24,60
14,Partenaire_14,Entreprise,Responsable_34,272453,Terminée,15,19,40
15,Partenaire_15,Association,Responsable_17,4085842,Active,19,8,20
16,Partenaire_16,Entreprise,Responsable_26,3451855,Suspendue,1,15,90
17,Partenaire_17,Institution,Responsable_17,4278421,En attente,12,1,20
18,Partenaire_18,Association,Responsable_12,4004782,En attente,5,15,60
19,Partenaire_19,Institution,Responsable_48,368218,En attente,7,2,0
20,Partenaire_20,Institution,Responsable_20,1453995,En attente,12,17,40
21,Partenaire_21,Entreprise,Responsable_37,655098,En attente,7,1,0
22,Partenaire_22,Institution,Responsable_39,3753780,Active,1,11,50
23,Partenaire_23,Institution,Responsable_39,3216552,En attente,5,2,20
24,Partenaire_24,Université,Responsable_19,2561880,Terminée,9,19,40
25,Partenaire_25,Institution,Responsable_8,3629894,En attente,6,24,60
26,Partenaire_26,Entreprise,Responsable_29,3647031,Terminée,14,5,20
27,Partenaire_27,Association,Responsable_6,3367968,Suspendue,0,23,90
28,Partenaire_28,Entreprise,Responsable_13,2687440,Active,4,19,40
29,Partenaire_29,Université,Responsable_13,975500,Terminée,16,6,0
30,Partenaire_30,Université,Responsable_15,594784,En attente,5,15,40
31,Partenaire_31,Institution,Responsable_6,1750149,Active,0,11,30
32,Partenaire_32,Institution,Responsable_6,967884,En attente,6,9,0
33,Partenaire_33,Association,Responsable_20,2180736,Active,1,17,70
34,Partenaire_34,Institution,Responsable_38,4765473,En attente,0,7,50
35,Partenaire_35,Université,Responsable_19,4080268,En attente,1,18,90
36,Partenaire_36,Université,Responsable_31,2247452,Active,20,1,0
37,Partenaire_37,Institution,Responsable_42,2790712,Suspendue,1,19,70
38,Partenaire_38,Association,Responsable_4,2531752,Terminée,2,0,30
39,Partenaire_39,Association,Responsable_37,524442,En attente,12,19,40
40,Partenaire_40,Institution,Responsable_9,4046848,Active,19,12,20
41,Partenaire_41,Association,Responsable_49,3265666,Active,12,24,60
42,Partenaire_42,Université,Responsable_25,4868055,En attente,16,7,20
43,Partenaire_43,Institution,Responsable_4,3685165,Suspendue,0,19,90
44,Partenaire_44,Université,Responsable_4,2164085,Suspendue,4,12,0
45,Partenaire_45,Institution,Responsable_40,1561791,Terminée,12,21,40
46,Partenaire_46,Université,Responsable_24,3854230,Active,0,12,50
47,Partenaire_47,Institution,Responsable_5,301604,Active,8,10,0
48,Partenaire_48,Université,Responsable_11,1664833,Suspendue,17,8,0
49,Partenaire_49,Université,Responsable_9,794774,Suspendue,0,11,30
50,Partenaire_50,Institution,Responsable_44,619931,Terminée,5,1,0
51,Partenaire_51,Institution,Responsable_36,4880577,En attente,6,19,60
52,Partenaire_52,Université,Responsable_39,1749824,Terminée,2,6,30
53,Partenaire_53,Université,Responsable_6,1043581,Suspendue,20,5,0
54,Partenaire_54,Association,Responsable_32,548023,Terminée,18,20,40
55,Partenaire_55,Entreprise,Responsable_16,1636546,Active,1,16,70
56,Partenaire_56,Entreprise,Responsable_8,449851,En attente,4,6,0
57,Partenaire_57,Institution,Responsable_38,3345395,Suspendue,14,21,60
58,Partenaire_58,Association,Responsable_32,2419437,En attente,18,5,0
59,Partenaire_59,Entreprise,Responsable_49,1625765,Terminée,18,20,40
60,Partenaire_60,Entreprise,Responsable_39,4681368,Active,3,7,20
61,Partenaire_61,Institution,Responsable_33,3548815,Suspendue,15,14,60
62,Partenaire_62,Institution,Responsable_17,3883133,En attente,11,0,20
63,Partenaire_63,Entreprise,Responsable_8,3564470,En attente,16,19,60
64,Partenaire_64,Association,Responsable_39,1272147,En attente,17,18,40
65,Partenaire_65,Université,Responsable_25,4054540,En attente,10,14,60
66,Partenaire_66,Institution,Responsable_15,1485109,En attente,18,13,40
67,Partenaire_67,Association,Responsable_32,3818023,En attente,1,2,50
68,Partenaire_68,Entreprise,Responsable_41,3548930,Terminée,15,7,20
69,Partenaire_69,Université,Responsable_27,1769437,Suspendue,16,13,40
70,Partenaire_70,Université,Responsable_23,240881,Suspendue,19,9,0
71,Partenaire_71,Institution,Responsable_37,1985451,Active,11,14,40
72,Partenaire_72,Université,Responsable_13,4778660,Suspendue,10,12,20
73,Partenaire_73,Association,Responsable_10,4821556,Suspendue,0,4,50
74,Partenaire_74,Institution,Responsable_3,4290364,Terminée,7,3,20
75,Partenaire_75,Université,Responsable_26,786681,En attente,7,21,40
76,Partenaire_76,Association,Responsable_42,2062539,Active,2,19,70
77,Partenaire_77,Entreprise,Responsable_37,203441,Active,13,18,40
78,Partenaire_78,Association,Responsable_38,4592978,Suspendue,11,14,60
79,Partenaire_79,Université,Responsable_32,3959745,En attente,16,7,20
80,Partenaire_80,Université,Responsable_14,3905595,Suspendue,18,12,20
81,Partenaire_81,Association,Responsable_30,4357116,En attente,9,17,60
82,Partenaire_82,Institution,Responsable_20,4700442,Active,18,19,60
83,Partenaire_83,Université,Responsable_4,117284,En attente,0,14,70
84,Partenaire_84,Institution,Responsable_45,2706813,Active,8,17,40
85,Partenaire_85,Association,Responsable_6,1752958,Suspendue,0,19,70
86,Partenaire_86,Entreprise,Responsable_11,4847950,Suspendue,11,17,60
87,Partenaire_87,Association,Responsable_1,2351278,Active,16,4,0
88,Partenaire_88,Entreprise,Responsable_30,1602977,Suspendue,5,14,40
89,Partenaire_89,Association,Responsable_11,3994049,Terminée,17,2,20
90,Partenaire_90,Association,Responsable_29,3205283,Suspendue,8,2,20
91,Partenaire_91,Entreprise,Responsable_50,590068,En attente,2,17,70
92,Partenaire_92,Institution,Responsable_1,683295,Terminée,4,22,40
93,Partenaire_93,Entreprise,Responsable_45,854501,Suspendue,6,11,0
94,Partenaire_94,Institution,Responsable_36,2328865,En attente,16,16,40
95,Partenaire_95,Institution,Responsable_21,4920073,Active,19,23,60
96,Partenaire_96,Institution,Responsable_31,1567380,Suspendue,18,7,0
97,Partenaire_97,Université,Responsable_2,4697824,En attente,12,20,60
98,Partenaire_98,Association,Responsable_41,170506,En attente,16,3,0
99,Partenaire_99,Université,Responsable_27,1093686,En attente,13,0,0
100,Partenaire_100,Université,Responsable_32,1442929,Terminée,3,22,40
101,Partenaire_101,Institution,Responsable_25,1344964,Suspendue,20,9,0
102,Partenaire_102,Institution,Responsable_36,2405429,Suspendue,1,1,30
103,Partenaire_103,Institution,Responsable_43,1693435,Active,4,22,40
104,Partenaire_104,Institution,Responsable_5,4989961,En attente,8,13,60
105,Partenaire_105,Entreprise,Responsable_47,1562386,Active,6,23,40
106,Partenaire_106,Association,Responsable_12,2791562,Active,8,18,40
107,Partenaire_107,Association,Responsable_25,126335,Suspendue,3,2,0
108,Partenaire_108,Association,Responsable_6,2257827,Suspendue,6,11,0
109,Partenaire_109,Université,Responsable_33,2008836,Terminée,8,10,0
110,Partenaire_110,Association,Responsable_45,1278275,En attente,0,7,30
111,Partenaire_111,Institution,Responsable_40,55131,Active,1,7,30
112,Partenaire_112,Entreprise,Responsable_39,2905371,Suspendue,11,15,40
113,Partenaire_113,Entreprise,Responsable_2,4088060,En attente,12,24,60
114,Partenaire_114,Association,Responsable_6,1590227,Terminée,20,5,0
115,Partenaire_115,Association,Responsable_40,1477463,Terminée,1,22,70
116,Partenaire_116,Institution,Responsable_17,632740,Active,3,24,40
117,Partenaire_117,Université,Responsable_28,2744041,Terminée,12,12,0
